"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 11- 19","524,500","530,500","530,500","521,000","8.31K","-1.13%"
"2020- 11- 18","530,500","528,000","530,500","528,000","14.38K","0.47%"
"2020- 11- 17","528,000","503,500","528,000","503,500","26.78K","4.87%"
"2020- 11- 16","503,500","496,800","504,000","496,800","8.85K","1.35%"
"2020- 11- 15","496,800","509,500","509,500","496,800","15.29K","-2.49%"
"2020- 11- 14","509,500","524,000","524,000","509,500","7.22K","-2.77%"
"2020- 11- 13","524,000","511,000","524,000","511,000","9.56K","2.54%"
"2020- 11- 12","511,000","514,500","514,500","511,000","13.51K","-0.68%"
"2020- 11- 11","514,500","500,500","514,500","500,500","15.07K","2.80%"
"2020- 11- 10","500,500","496,000","501,500","496,000","10.21K","1.01%"
"2020- 11- 09","495,500","508,000","508,000","495,500","17.03K","-2.27%"
"2020- 11- 08","507,000","489,300","507,000","489,300","10.90K","3.62%"
"2020- 11- 07","489,300","508,500","508,500","489,300","34.52K","-3.87%"
"2020- 11- 06","509,000","464,500","509,000","464,500","24.63K","9.58%"
"2020- 11- 05","464,500","453,700","464,600","449,600","26.92K","2.40%"
"2020- 11- 04","453,600","438,600","453,600","433,900","35.30K","3.42%"
"2020- 11- 03","438,600","435,800","438,600","435,800","8.32K","0.64%"
"2020- 11- 02","435,800","448,000","448,000","435,800","7.18K","-2.70%"
"2020- 11- 01","447,900","437,600","447,900","437,600","13.61K","2.35%"
"2020- 10- 31","437,600","433,100","437,600","433,100","5.51K","1.04%"
"2020- 10- 30","433,100","437,900","437,900","433,100","6.00K","-1.14%"
"2020- 10- 29","438,100","441,500","441,500","438,100","9.08K","-0.77%"
"2020- 10- 28","441,500","452,400","452,400","441,500","11.54K","-2.39%"
"2020- 10- 27","452,300","444,300","452,300","443,100","12.43K","1.80%"
"2020- 10- 26","444,300","457,700","457,700","444,300","23.27K","-2.89%"
"2020- 10- 25","457,500","464,200","464,200","457,500","5.97K","-1.44%"
"2020- 10- 24","464,200","461,800","464,200","461,800","6.49K","0.52%"
"2020- 10- 23","461,800","465,000","465,000","461,800","11.60K","-0.67%"
"2020- 10- 22","464,900","440,000","464,900","440,000","16.68K","5.56%"
"2020- 10- 21","440,400","422,000","444,000","422,000","29.99K","4.36%"
"2020- 10- 20","422,000","432,700","432,700","422,000","9.07K","-2.47%"
"2020- 10- 19","432,700","433,700","433,700","429,800","7.90K","-0.23%"
"2020- 10- 18","433,700","423,300","433,700","423,300","3.83K","2.46%"
"2020- 10- 17","423,300","421,200","423,300","421,200","2.86K","0.50%"
"2020- 10- 16","421,200","434,100","434,100","421,200","5.12K","-2.97%"
"2020- 10- 15","434,100","436,000","436,000","434,100","8.45K","-0.44%"
"2020- 10- 14","436,000","437,700","437,700","436,000","8.59K","-0.39%"
"2020- 10- 13","437,700","442,000","442,000","437,700","8.14K","-0.97%"
"2020- 10- 12","442,000","425,400","442,000","425,400","22.00K","3.90%"
"2020- 10- 11","425,400","421,900","426,100","421,900","4.38K","0.83%"
"2020- 10- 10","421,900","416,800","421,900","416,800","9.75K","1.22%"
"2020- 10- 09","416,800","403,600","416,800","403,000","12.23K","3.27%"
"2020- 10- 08","403,600","397,900","403,600","397,100","9.00K","1.43%"
"2020- 10- 07","397,900","399,000","399,000","397,900","7.34K","-0.28%"
"2020- 10- 06","399,000","411,000","411,000","399,000","18.13K","-2.92%"
"2020- 10- 05","411,000","411,400","411,400","408,900","5.58K","-0.15%"
"2020- 10- 04","411,600","406,300","411,600","406,300","7.64K","1.30%"
"2020- 10- 03","406,300","406,600","407,900","406,300","4.45K","-0.07%"
"2020- 10- 02","406,600","413,700","413,700","406,600","8.13K","-1.72%"
"2020- 10- 01","413,700","418,400","426,100","413,700","24.36K","-1.12%"
"2020- 09- 30","418,400","418,000","418,400","414,300","8.03K","0.10%"
"2020- 09- 29","418,000","412,100","418,000","412,000","8.65K","1.43%"
"2020- 09- 28","412,100","415,000","415,000","412,100","14.11K","-0.70%"
"2020- 09- 27","415,000","411,900","417,000","411,900","8.82K","0.75%"
"2020- 09- 26","411,900","409,500","411,900","409,500","7.95K","0.59%"
"2020- 09- 25","409,500","406,400","409,500","406,400","17.04K","0.76%"
"2020- 09- 24","406,400","373,400","406,400","373,400","21.45K","8.78%"
"2020- 09- 23","373,600","403,400","403,400","373,600","33.70K","-7.39%"
"2020- 09- 22","403,400","400,600","403,400","399,000","8.24K","0.65%"
"2020- 09- 21","400,800","435,600","435,600","400,800","23.13K","-7.99%"
"2020- 09- 20","435,600","448,700","448,700","435,600","13.07K","-2.92%"
"2020- 09- 19","448,700","449,400","449,400","448,700","2.00K","-0.07%"
"2020- 09- 18","449,000","455,100","455,100","445,600","12.43K","-1.34%"
"2020- 09- 17","455,100","429,800","455,100","429,800","19.99K","5.89%"
"2020- 09- 16","429,800","432,500","432,500","429,600","13.00K","-0.62%"
"2020- 09- 15","432,500","446,100","446,100","432,500","14.93K","-3.05%"
"2020- 09- 14","446,100","438,800","446,100","438,800","19.63K","1.69%"
"2020- 09- 13","438,700","459,000","459,000","437,600","24.74K","-4.42%"
"2020- 09- 12","459,000","443,400","459,000","437,700","19.30K","3.52%"
"2020- 09- 11","443,400","438,600","443,400","438,600","14.35K","1.09%"
"2020- 09- 10","438,600","417,400","438,600","417,400","16.28K","5.08%"
"2020- 09- 09","417,400","404,000","417,400","404,000","22.46K","3.32%"
"2020- 09- 08","404,000","421,300","421,300","404,000","28.58K","-4.22%"
"2020- 09- 07","421,800","425,300","425,300","394,100","29.65K","-0.78%"
"2020- 09- 06","425,100","407,400","425,100","407,400","34.15K","4.34%"
"2020- 09- 05","407,400","465,400","468,500","407,400","115.36K","-12.48%"
"2020- 09- 04","465,500","462,000","465,500","462,000","46.49K","0.76%"
"2020- 09- 03","462,000","524,000","524,000","462,000","86.73K","-11.83%"
"2020- 09- 02","524,000","557,000","557,000","520,000","34.08K","-6.01%"
"2020- 09- 01","557,500","511,500","557,500","511,500","38.62K","8.99%"
"2020- 08- 31","511,500","500,500","511,500","496,200","18.94K","2.30%"
"2020- 08- 30","500,000","467,000","500,000","467,000","31.64K","7.11%"
"2020- 08- 29","466,800","463,700","470,800","463,700","14.61K","0.67%"
"2020- 08- 28","463,700","453,300","463,700","453,300","12.45K","2.29%"
"2020- 08- 27","453,300","455,600","455,600","453,300","18.38K","-0.50%"
"2020- 08- 26","455,600","455,900","458,100","455,600","13.51K","-0.07%"
"2020- 08- 25","455,900","480,100","480,100","455,900","24.15K","-5.12%"
"2020- 08- 24","480,500","462,600","480,500","462,600","13.61K","3.69%"
"2020- 08- 23","463,400","469,100","469,100","457,300","8.67K","-1.22%"
"2020- 08- 22","469,100","463,400","469,100","453,200","9.79K","1.23%"
"2020- 08- 21","463,400","489,400","489,400","463,400","22.62K","-5.31%"
"2020- 08- 20","489,400","481,000","489,400","481,000","16.66K","1.75%"
"2020- 08- 19","481,000","494,500","494,500","481,000","19.40K","-2.71%"
"2020- 08- 18","494,400","497,400","499,100","494,400","15.85K","-0.60%"
"2020- 08- 17","497,400","506,500","506,500","497,400","22.40K","-1.80%"
"2020- 08- 16","506,500","506,000","506,500","494,800","15.80K","0.10%"
"2020- 08- 15","506,000","515,000","515,000","506,000","11.25K","-1.75%"
"2020- 08- 14","515,000","497,700","515,000","497,700","32.64K","3.48%"
"2020- 08- 13","497,700","457,700","497,700","452,000","59.43K","8.81%"
"2020- 08- 12","457,400","452,800","457,400","452,500","18.04K","1.02%"
"2020- 08- 11","452,800","466,000","466,000","452,800","32.54K","-2.83%"
"2020- 08- 10","466,000","461,600","466,500","461,600","12.39K","0.95%"
"2020- 08- 09","461,600","467,600","468,800","461,600","12.87K","-1.28%"
"2020- 08- 08","467,600","450,300","467,600","450,300","14.08K","3.84%"
"2020- 08- 07","450,300","465,400","466,900","450,300","37.88K","-3.22%"
"2020- 08- 06","465,300","472,500","472,500","465,300","24.04K","-1.52%"
"2020- 08- 05","472,500","463,200","472,500","463,200","24.84K","2.01%"
"2020- 08- 04","463,200","455,900","465,500","455,900","12.98K","1.60%"
"2020- 08- 03","455,900","438,100","455,900","438,100","35.82K","4.06%"
"2020- 08- 02","438,100","457,000","457,000","438,100","42.09K","-4.14%"
"2020- 08- 01","457,000","410,000","457,000","410,000","56.83K","11.44%"
"2020- 07- 31","410,100","394,700","410,100","394,700","28.68K","3.90%"
"2020- 07- 30","394,700","375,400","394,700","375,400","40.85K","5.06%"
"2020- 07- 29","375,700","370,500","380,700","370,500","16.12K","1.40%"
"2020- 07- 28","370,500","376,600","381,200","370,500","25.36K","-1.72%"
"2020- 07- 27","377,000","366,500","377,000","366,500","62.38K","2.86%"
"2020- 07- 26","366,500","361,000","374,600","357,800","21.37K","1.52%"
"2020- 07- 25","361,000","331,800","361,000","331,800","47.49K","8.80%"
"2020- 07- 24","331,800","325,000","331,800","321,200","36.28K","2.19%"
"2020- 07- 23","324,700","311,900","324,700","311,900","39.33K","4.14%"
"2020- 07- 22","311,800","291,000","311,800","289,800","43.17K","7.15%"
"2020- 07- 21","291,000","281,800","291,000","281,800","13.52K","3.26%"
"2020- 07- 20","281,800","283,700","283,700","281,800","11.47K","-0.67%"
"2020- 07- 19","283,700","280,200","283,700","279,000","8.14K","1.21%"
"2020- 07- 18","280,300","278,000","280,300","278,000","5.35K","0.83%"
"2020- 07- 17","278,000","279,500","279,500","278,000","4.80K","-0.54%"
"2020- 07- 16","279,500","284,700","284,700","279,500","6.47K","-1.83%"
"2020- 07- 15","284,700","285,800","285,800","284,600","8.04K","-0.38%"
"2020- 07- 14","285,800","285,100","285,800","285,000","9.08K","0.25%"
"2020- 07- 13","285,100","287,600","289,600","285,100","13.59K","-0.87%"
"2020- 07- 12","287,600","284,100","287,600","282,300","10.00K","1.23%"
"2020- 07- 11","284,100","286,400","286,400","284,100","4.24K","-0.80%"
"2020- 07- 10","286,400","287,400","287,400","284,500","8.41K","-0.35%"
"2020- 07- 09","287,400","291,100","292,400","287,400","14.08K","-1.27%"
"2020- 07- 08","291,100","283,600","291,100","283,600","14.29K","2.64%"
"2020- 07- 07","283,600","285,600","285,600","280,800","11.65K","-0.70%"
"2020- 07- 06","285,600","271,600","285,600","271,500","18.31K","5.12%"
"2020- 07- 05","271,700","273,000","273,600","268,100","6.69K","-0.48%"
"2020- 07- 04","273,000","269,000","275,000","268,600","7.48K","1.41%"
"2020- 07- 03","269,200","270,700","272,900","268,600","6.34K","-0.55%"
"2020- 07- 02","270,700","276,000","277,300","268,200","11.82K","-1.92%"
"2020- 07- 01","276,000","269,200","277,900","268,100","15.85K","2.53%"
"2020- 06- 30","269,200","272,200","273,300","267,100","7.33K","-1.10%"
"2020- 06- 29","272,200","270,400","274,400","265,600","13.93K","0.52%"
"2020- 06- 28","270,800","267,500","274,500","262,200","12.96K","1.16%"
"2020- 06- 27","267,700","276,300","277,700","264,200","27.25K","-3.11%"
"2020- 06- 26","276,300","280,000","280,600","274,400","10.27K","-1.32%"
"2020- 06- 25","280,000","283,000","283,600","273,900","8.23K","-1.06%"
"2020- 06- 24","283,000","290,300","297,500","279,100","23.10K","-2.48%"
"2020- 06- 23","290,200","291,100","293,200","288,400","7.39K","-0.31%"
"2020- 06- 22","291,100","275,500","294,600","275,500","26.87K","5.66%"
"2020- 06- 21","275,500","276,800","279,000","274,900","7.22K","-0.47%"
"2020- 06- 20","276,800","277,800","278,800","274,100","5.46K","-0.36%"
"2020- 06- 19","277,800","279,500","279,900","273,400","6.62K","-0.61%"
"2020- 06- 18","279,500","282,500","283,400","275,500","10.12K","-1.06%"
"2020- 06- 17","282,500","283,000","286,000","278,100","8.35K","-0.18%"
"2020- 06- 16","283,000","277,800","283,200","275,000","7.51K","1.87%"
"2020- 06- 15","277,800","279,100","280,500","263,700","17.48K","-0.47%"
"2020- 06- 14","279,100","286,300","286,600","277,400","12.57K","-2.51%"
"2020- 06- 13","286,300","285,900","286,700","283,300","4.15K","0.14%"
"2020- 06- 12","285,900","275,200","287,300","273,000","6.04K","3.89%"
"2020- 06- 11","275,200","294,100","296,300","274,900","51.07K","-6.43%"
"2020- 06- 10","294,100","291,700","294,800","288,900","14.74K","0.82%"
"2020- 06- 09","291,700","294,000","297,800","288,300","10.70K","-0.71%"
"2020- 06- 08","293,800","292,900","295,400","289,200","14.25K","0.27%"
"2020- 06- 07","293,000","290,900","294,100","284,100","16.51K","0.72%"
"2020- 06- 06","290,900","289,100","293,300","287,100","7.43K","0.62%"
"2020- 06- 05","289,100","292,900","296,600","288,300","16.32K","-1.20%"
"2020- 06- 04","292,600","295,000","298,200","286,200","16.20K","-0.95%"
"2020- 06- 03","295,400","288,200","295,400","282,900","11.91K","2.50%"
